pecha id,language,url
P0CB0BC11,en,https://github.com/OpenPecha/P0CB0BC11
PDBEEEAF5,de,https://github.com/OpenPecha/PDBEEEAF5
P353CF4A0,es,https://github.com/OpenPecha/P353CF4A0
PEAA36AF6,fr,https://github.com/OpenPecha/PEAA36AF6
PF2D347F2,it,https://github.com/OpenPecha/PF2D347F2
PC37484C4,nl,https://github.com/OpenPecha/PC37484C4
P7A533577,pt,https://github.com/OpenPecha/P7A533577
PD57F537E,zh,https://github.com/OpenPecha/PD57F537E
P36711981,bo,https://github.com/OpenPecha/P36711981
